,날짜,리뷰,응답날짜,응답,별점,유저명,공감수
0,2018-12-05 23:28:46,앱을 실행하고 관심분야를 선택하면 도서관 같은경우 구에 속한 도서관의 경우 카드가 한장이면 통합되있어서 다른곳도 이용가능한데 여기는 도서관마다 등록하라고 카드가 다 띄워지는데 한곳만 등록하면 통합이 되는건지 다른곳을 이용하려면 다중에카드를 등록해야하는지 안내가 되야하고 만약 통합이 안되면 통합이 되도록 시스템 변경이 있어야 할것 같습니다.,2019-01-29 06:51:02,"안녕하세요. 서울시민카드입니다.

통합 회원으로 서비스하는 도서관이 늘고 있어 말씀 주신 것처럼 구립 도서관으로 카드를 등록하고 사용하실 수 있도록 준비 중입니다.

지속적인 관심 부탁드립니다.

고맙습니다.",3,Google 사용자,20
1,2020-11-25 04:23:16,이런 시도 넘 좋아요. 매번 쓰는 게 아닌데 실물 카드 들고 다니는 게 진짜 귀찮았어요. 빌릴 생각 없었다가 마음에 드는 책 있어서 빌리고 싶었을 때 카드가 없어서 못 빌린 경우도 많았고요. 그런데 어플로 대여 가능해서 좋아요. 찾동이 기능은 어떻게 써야할지 모르겠어요. 좋은 시도 감사해요,2020-12-11 05:08:21,안녕하세요. 서울시민카드 입니다. 리뷰 감사드립니다.,5,Kuei-fei Yang,38
2,2022-05-13 02:06:10,반납 연장을 어플 내에서 할 수 있으면 좋겠어요. 힘들면 그냥 사이트에서 연장한 거 불러오기라도 됐으면.. 반납하고 새로 대여했는데도 계속 이전 대여 목록만 뜨네요ㅠ,2022-05-16 08:49:33,"안녕하세요. 서울시민카드입니다.
서울시민카드 앱 자체에서 대출연장 기능은 없으나, 시민카드 앱에서 등록한 도서관 홈페이지로 자동로그인 접속이 되어 도서관 홈페이지 대출정보에서 대출연장 신청 가능합니다.
- 홈 > 내시설카드 > 해당 통합도서관 선택 > 시설목록에서 해당도서관 선택 > ""홈페이지 바로가기"" 선택

감사합니다.",4,신은진,0
3,2020-01-06 02:43:14,잘 쓰고 있습니다! 공공기관뿐만 아니라 서울시에 있는 일반 상점들도 등록해서 사용하는 건 어떨까요? 프렌차이즈는 각자 앱이 있지만 작은 가게는 앱이 없는데요. 있어도 그거 하나 때문에 따로 설치하기도 번거롭고요. 요새 모바일 신분증도 나온다는데 정말 지갑 없이 다니고 싶어요! ㅎㅎ,2020-02-06 05:20:57,안녕하세요. 서울시민카드 입니다. 리뷰 감사드립니다.,5,J I,16
4,2022-05-07 03:10:51,성동구립도서관이 시설연동이 지연되고 있다면서 추가가 안됩니다. 한달전에도 똑같은 반응. 삭제하고 새로 설치해도 마찬가지. 수정해주세요,2022-05-10 02:34:02,"안녕하세요. 서울시민카드입니다.
우선 오랜기간 불편을 끼쳐드려 죄송합니다.
문의주신 해당시설은 5/9(월)부로 시설연계가 완료되어 현재 정상적으로 서비스 이용이 가능합니다.
감사합니다.",3,Hs Dk,0
5,2019-01-15 04:59:57,도서관카드 발급하고 가지고 다니기 힘들어 불편했는데 안가지고 다닐수 있어서 편하네요. 관공서에서 만든 앱이라 별로 기대 안했는데.. 은근 쓸모.. 계속 개선 해주세요 ^^,2019-01-29 07:08:15,"안녕하세요. 서울시민카드 입니다.

따뜻한 댓글 감사드립니다.

좀 더 나은 서울시민카드 서비스 제공을 위해 준비하고 있습니다.

지속적인 관심 부탁드립니다.

고맙습니다.",5,Justin Kim,2
6,2019-08-19 10:16:51,도서관이나 미술관 이용시 매번 출입카드를 들고가거나 공연정보를 알기위해 일일이 찾아봤어야했는데 이렇게 한번에 볼 수 있게 어플로 있다는걸 일찍알았다면 공공기관을 더 잘 활용했을텐데 왜 아무도 모르지ㅠㅠ 너무 아쉽ㅠㅠ,2019-09-04 07:16:31,"안녕하세요. 서울시민카드입니다.

리뷰 감사드립니다.",4,Yerine Choi,1
7,2019-01-24 01:29:57,구립도서관카드로는 쓸만한데(다른건 무쓸인듯) 문제는 반납기한연동이 제대로 안돼서 대출연장반영이 아예 안됨. 카드에서 연장신청도 안될뿐더러.,2019-01-29 07:09:17,"안녕하세요. 서울시민카드입니다.

이용하시고 계신 도서관을 알려주시면 확인하여 불편함이 없으시도록 조치하겠습니다.

지속적인 관심 부탁드립니다.

고맙습니다.",2,Google 사용자,1
8,2020-11-11 09:41:31,뭔가 통합된 앱인것처럼 설명은 하는데... 도서 대여하고 연장 할때도 이 앱에서 바로 연장할수 있도록 해주세요... 해당 도서관 사이트 다시 들어가서.. 뭐하고... 참 별로인 앱...,2020-11-19 06:14:04,"안녕하세요. 서울시민카드 입니다. 우선 불편을 드려 죄송합니다. 현재 도서 연장 기능은 제공하고 있지 않지만, 앞으로 해당 기능이 제공될 수 있도록 내부적으로 검토하도록 하겠습니다. 감사합니다.",1,광도루,13
9,2022-03-20 16:24:42,도서관이용에는 문제가없으나 공공시설예약하기하면 탭이 안열리고 버그있다는메세지뜨면서 계속닫혀요 ㅠㅠ 짜증쓰,2022-03-21 08:04:50,"안녕하세요. 서울시민카드 입니다. 우선 불편을 드려 죄송합니다.
앱 삭제 후 재설치 해보신 후 동일한 문제가 계속 발생 시 1:1문의 게시판(우측 상단 메뉴(≡) → 고객센터 → 1:1문의)을 통해 문의 주세요. 문의 주실때 시설명등 상세 정보를 기재해주시면 좀 더 빠르게 처리가 가능하십니다.
감사합니다.",3,Mihyeon seong,0
