"시설명","시설유형명","설림유형명","시설정보","홈페이지URL","시설전화","구명칭","시설우편번호","시설주소1","시설주소2","시설위도","시설경도","이용정보","주차정보"
"중화역  스마트도서관","도서관","구립","중화역 스마트도서관","","02-490-9151","중랑구","02017","서울 중랑구 동일로 지하 797 (중화동 중화역)","지하1층 개찰구 앞(중화역 7호선)","37.6015796992834","127.079469204905","▣ 이용시간: 05:30~24:00 ▣ 이용대상: 책이음회원(하나의 회원증으로 책이음 참여도서관을 이용하는 통합회원) ▣ 대출권수: 1인당 2권(통합 20권 대출가능) ▣ 대출기간: 14일(연장불가) ▣ 장    서: 다양한 일반도서 400여권",""
"면목2동작은도서관","도서관","구립","면목2동 주민센터에 위치하고 있는 작은도서관","http://smlib.jungnanglib.seoul.kr/small/prgm/information.do?libCd=101","02-2094-6044","중랑구","02130","서울 중랑구 동일로101길 20-15 (면목동 면목2동 주민센터)"," ","37.589716371","127.079058062","▣ 이용시간 및 휴관일  1. 이용시간안내 - 월-금 09:00 ~ 18:00  2. 휴관일(정기휴관일) - 주말(토 일) 및 공휴일  ▣ 회원가입안내  1. 대상 - 주민등록상 서울시민 서울시 소재 사업장 직장인  2. 구비서류 - 중학생 이상 : 주민등록증/주민등록등본/학생증/운전면허증 중 하나 ※ 학생증은 주민등록번호와 주소가 기재된 것만 가능 - 영아(0세)~초등학교 6학년 : 주민등록등본 - 외국인 : 외국인등록증 - 중랑구 소재 사업장 직장인 : 사업자등록증(개인사업자) 관내 사업장 재직증명서  3. 대출회원 가입절차 - 중랑구 작은도서관 홈페이지(http://www.jungnanglib.seoul.kr/library)에서 회원가입 ※ ’본인명의의 휴대폰’ 또는 ’아이핀’으로 본인 인증 - 신분증을 지참하여 각 도서관 방문 후 본인 확인 - 회원증 발급  4. 회원카드 재발급 - 분실(분실신고) 또는 훼손으로 인하여 카드 사용이 불가능할 때  ※ 신분증과 재발급수수료(1000원)를 지참하여 각 도서관 방문 후 본인 확인 ※ 회원증 재발급  ▣ 자료이용안내  1. 대출 및 반납 - 대상 : 중랑구 구립도서관 대출회원 - 대출권수 : 1인당 5권 - 대출기간 : 2주  - 반납연기 : 1회 7일 연기가능 (단 예약자료의 경우 반납연기 불가) ※ 반납기일 이전에 전화 및 홈페이지(내서재)에서 연기 신청 - 회원증 미지참시 대출 불가(아동은 부모님이 자녀카드로 대출 가능)  2. 자료예약안내 - 대상 : 현재 대출 중인 자료에 한해서만 가능 - 규정 : 한 자료당 최대 3명(1~3순위)까지 도서관별 2권 통합 8권 예약 가능 ※ 예약자료 대출안내 후 만기일(2일) 이내 대출해 주시기 바랍니다.(만기일 지나면 자동 취소)  -방법 :  ※ 도서관 홈페이지에서 자료검색 후 예약하기 버튼 클릭 ※ 도서관 자료실 데스크에 방문하여 예약신청      ",""
"중랑구립정보도서관","도서관","구립","신내동에 위치한 나눔과 소통이 있는 행복도서관","http://www.jungnanglib.seoul.kr/jnlib/","02-490-9113","중랑구","02041","서울 중랑구 신내로15길 197 (묵동 중랑구립정보도서관)"," ","37.615319843","127.087113519","▣ 이용시간 및 휴관일  1. 이용시간안내 - 종합자료실 전자정보실  ※ 평일: 09:00~22:00 (단 월요일은 09:00~18:00) ※ 주말(토?일요일): 09:00~17:00  - 장애?노약자실 미디어자료실 어린이자료실 유아자료실 ※ 평일: 09:00~18:00 ※ 주말(토?일요일):  09:00~17:00   - 개인학습실 / 스마트 열람실 ※ 평일: (3월~10월) 07:00~23:00 (11월~2월) 08:00~23:00 (단 월요일은 22:00까지) ※ 주말(토?일요일): (3월~10월) 07:00~22:00 (11월~2월) 08:00~22:00  2. 휴관일(정기휴관일) - 매월 둘째 넷째 월요일 - 일요일을 제외한 법정공휴일 및 근로자의날(5월1일) 창립기념일(12월1일)  - 도서관 사정에 의한 임시휴관일 - 단 다섯째 월요일은 정상 운영합니다.   ▣ 회원가입안내  1. 대상 - 주민등록상 서울시민 서울시 소재 사업장 직장인  2. 구비서류 - 중학생 이상 : 주민등록증/주민등록등본/학생증/운전면허증 중 하나 ※ 학생증은 주민등록번호 주소가 기재된 것만 가능 - 영아(0세)~초등학교 6학년 : 주민등록등본 - 외국인 : 외국인등록증 - 서울시 소재 사업장 직장인 : 사업자등록증(개인사업자) 재직증명서   3. 대출회원 가입절차 - 홈페이지 또는 자료실 내 회원가입PC에서 회원가입 ※’본인명의의 휴대폰’ 또는 ’아이핀’으로 본인 인증 - 신분증을 지참하여 각 도서관 방문 후 본인 확인 - 회원증 발급  4. 회원카드 재발급 - 분실(분실신고) 또는 훼손으로 인하여 카드 사용이 불가능할 때 - 신분증과 재발급수수료(1000원 / 현금결제)를 지참하여 각 도서관 방문 후 본인 확인 - 회원증 발급  5. 회원탈퇴 - 도서관 직접방문 후 ’회원탈퇴신청서’를 작성하시면 3~5일이내 탈퇴처리가 됩니다. - 단) 대출중인 도서가 있는 경우에는 반납 후 탈퇴처리가 가능합니다. - 홈페이지 회원탈퇴는 회원정보수정 / 회원탈퇴 메뉴를 이용하시기 바랍니다.  ▣ 자료대출 안내  1. 대출자격 - 회원증을 소지한 본인에 한해 도서 대출(아동은 부모님이 자녀카드로 대출 가능) - 중학생 이상 회원의 경우 가족회원 등록 시 대리대출 가능 ※ 가족회원 등록방법 : 가족관계증명서 건강보험증 주민등록등본 중 1부와 가족 회원증 지참하여 자료실 방문  2. 대출기한 - 도서 대출일로부터 14일 이내  3. 대출권수 - 도서대출권수 : 5권 통합 20권 대출 가능  4. 반납연기 - 1회 7일 연기가능 (단 예약자료의 경우 반납연기 불가)  ※ 반납기일 이전에 전화 및 홈페이지(나만의 도서관 → 내서재)에서 연기 신청  5. 재대출 - 반납한 도서는 반납 후 1일 후 재대출",""
"양원숲속도서관","도서관","구립","책으로 여는 미래 미래를 여는 문","http://www.jungnanglib.seoul.kr/ywlib/index.php","02-432-0710","중랑구","02062","서울 중랑구 송림길 172 (망우동 양원 청소년 독서실)"," ","37.6066977","127.1101168","▣ 이용시간 및 휴관일  1. 이용시간안내 - 평일:  ※ 오전 9시 ~ 오후 6시  - 주말:  ※ 오전 9시 ~ 오후 5시(토요일) ※ 오전 10시 ~ 오후 5시(일요일)  2. 휴관일(정기휴관일) - 매주 월요일 - 법정공휴일   ▣ 도서대출회원 가입 안내  1. 대상 - 주민등록상 서울시민 서울시 소재 사업장 직장인  2. 구비서류 - 중학생 이상 : 주민등록증/주민등록등본/학생증/운전면허증 중 하나 ※ 학생증은 주소와 주민등록번호가 기재된 것만 가능 - 영아(0세)~초등학교 6학년 : 주민등록등본 - 외국인 : 외국인등록증 - 서울시 소재 사업장 직장인 : 사업자등록증(개인사업자) 재직증명서  3. 대출회원 가입절차 - 홈페이지 또는 자료실 내 회원가입PC에서 회원가입 ※’본인명의의 휴대폰’ 또는 ’아이핀’으로 본인 인증 - 신분증을 지참하여 각 도서관 방문 후 본인 확인 - 회원증 발급  ▣ 회원카드 재발급 - 분실(분실신고) 또는 훼손으로 인하여 카드 사용이 불가능할 때 - 신분증과 재발급수수료(1000원 현금결제)를 지참하여 각 도서관 방문 후 본인 확인 - 회원증발급 ※ 수수료 결재시 신용카드 사용은 불가합니다. ※ (구)카드(JN MM 등 문자로 시작하는 회원증) 교체발급시 (구)카드를 제출하시면 무상교체해드립니다.  ▣ 도서대출 - 대출자격 : 중랑구립도서관 및 15개 작은도서관 대출회원증 소지자 - 대출한도 : 1인 5권 통합 20권 대출가능  - 대출기간 : 도서 대출일로부터 14일 이내 - 대출제한 : 반납예정일을 초과하여 반납하였을 경우 초과(연체)된 날짜 만큼 대출정지(한 도서관에서 대출이 정지되면 모든 중랑구 구립도서관에서 대출이 정지됨) - 기타사항 회원카드는 본인에 한하여 사용 가능(단 가족회원 등록 후 가족 구성원의 카드 대신 사용 가능) - 당일 반납한 도서는 본인 및 가족카드로 1일이 지난 후부터 대출 가능 - 대출도서의 분실 또는 훼손 시 동일도서로 변상  ▣ 도서 예약 - 대출중인 도서에 한하여 1인 5책까지 예약 가능(전 도서관 통합) - 예약 도서 반납 시 SMS와 e-mail을 발송하며 예약만기일(2일) 이내에 대출 ※ 회원가입시 SMS동의 확인해주세요  - 예약만기일 이내에 대출하지 않을 시 자동 예약 취소 - 예약방법 : 홈페이지 또는 자료실 방문    ",""
"망우3동작은도서관","도서관","구립","망우3동 주민센터에 위치하고 있는 작은도서관","http://smlib.jungnanglib.seoul.kr/small/prgm/information.do?libCd=113","02-2094-6524","중랑구","02175","서울 중랑구 겸재로61길 40 (망우동 망우3동 주민센터)"," ","37.592414729","127.098225259"," ▣ 이용시간 및 휴관일  1. 이용시간안내 - 월-금 09:00~17:00  2. 휴관일(정기휴관일) - 주말(토 일) 및 공휴일   ▣ 회원가입안내  1. 대상 - 주민등록상 서울시민 서울시 소재 사업장 직장인  2. 구비서류 - 중학생 이상 : 주민등록증/주민등록등본/학생증/운전면허증 중 하나 ※ 학생증은 주민등록번호와 주소가 기재된 것만 가능 - 영아(0세)~초등학교 6학년 : 주민등록등본 - 외국인 : 외국인등록증 - 중랑구 소재 사업장 직장인 : 사업자등록증(개인사업자) 관내 사업장 재직증명서  3. 대출회원 가입절차 - 중랑구 작은도서관 홈페이지(http://www.jungnanglib.seoul.kr/library)에서 회원가입 ※ ’본인명의의 휴대폰’ 또는 ’아이핀’으로 본인 인증 - 신분증을 지참하여 각 도서관 방문 후 본인 확인 - 회원증 발급  4. 회원카드 재발급 - 분실(분실신고) 또는 훼손으로 인하여 카드 사용이 불가능할 때  ※ 신분증과 재발급수수료(1000원)를 지참하여 각 도서관 방문 후 본인 확인 ※ 회원증 재발급  ▣ 자료이용안내  1. 대출 및 반납 - 대상 : 중랑구 구립도서관 대출회원 - 대출권수 : 1인당 5권 - 대출기간 : 2주  - 반납연기 : 1회 7일 연기가능 (단 예약자료의 경우 반납연기 불가) ※ 반납기일 이전에 전화 및 홈페이지(내서재)에서 연기 신청 - 회원증 미지참시 대출 불가(아동은 부모님이 자녀카드로 대출 가능)  2. 자료예약안내 - 대상 : 현재 대출 중인 자료에 한해서만 가능 - 규정 : 한 자료당 최대 3명(1~3순위)까지 도서관별 2권 통합 8권 예약 가능 ※ 예약자료 대출안내 후 만기일(2일) 이내 대출해 주시기 바랍니다.(만기일 지나면 자동 취소)  -방법 :  ※ 도서관 홈페이지에서 자료검색 후 예약하기 버튼 클릭 ※ 도서관 자료실 데스크에 방문하여 예약신청      ",""
"망우본동작은도서관","도서관","구립","망우본동 복합청사에 위치하고 있는 작은도서관","http://smlib.jungnanglib.seoul.kr/small/prgm/information.do?libCd=112","02-2094-6484","중랑구","02059","서울 중랑구 망우로67길 10 (망우동 망우본동 복합청사)","3층","37.600608363","127.101323686"," ▣ 이용시간 및 휴관일  1. 이용시간안내 - 월-금 09:00 ~ 18:00  2. 휴관일(정기휴관일) - 주말(토 일) 및 공휴일   ▣ 회원가입안내  1. 대상 - 주민등록상 서울시민 서울시 소재 사업장 직장인  2. 구비서류 - 중학생 이상 : 주민등록증/주민등록등본/학생증/운전면허증 중 하나 ※ 학생증은 주민등록번호와 주소가 기재된 것만 가능 - 영아(0세)~초등학교 6학년 : 주민등록등본 - 외국인 : 외국인등록증 - 중랑구 소재 사업장 직장인 : 사업자등록증(개인사업자) 관내 사업장 재직증명서  3. 대출회원 가입절차 - 중랑구 작은도서관 홈페이지(http://www.jungnanglib.seoul.kr/library)에서 회원가입 ※ ’본인명의의 휴대폰’ 또는 ’아이핀’으로 본인 인증 - 신분증을 지참하여 각 도서관 방문 후 본인 확인 - 회원증 발급  4. 회원카드 재발급 - 분실(분실신고) 또는 훼손으로 인하여 카드 사용이 불가능할 때  ※ 신분증과 재발급수수료(1000원)를 지참하여 각 도서관 방문 후 본인 확인 ※ 회원증 재발급  ▣ 자료이용안내  1. 대출 및 반납 - 대상 : 중랑구 구립도서관 대출회원 - 대출권수 : 1인당 5권 - 대출기간 : 2주  - 반납연기 : 1회 7일 연기가능 (단 예약자료의 경우 반납연기 불가) ※ 반납기일 이전에 전화 및 홈페이지(내서재)에서 연기 신청 - 회원증 미지참시 대출 불가(아동은 부모님이 자녀카드로 대출 가능)  2. 자료예약안내 - 대상 : 현재 대출 중인 자료에 한해서만 가능 - 규정 : 한 자료당 최대 3명(1~3순위)까지 도서관별 2권 통합 8권 예약 가능 ※ 예약자료 대출안내 후 만기일(2일) 이내 대출해 주시기 바랍니다.(만기일 지나면 자동 취소)  -방법 :  ※ 도서관 홈페이지에서 자료검색 후 예약하기 버튼 클릭 ※ 도서관 자료실 데스크에 방문하여 예약신청      ",""
"겸재작은도서관","도서관","구립","작은도서관","http://smlib.jungnanglib.seoul.kr/small/prgm/information.do?libCd=120","070-4209-5183","중랑구","02118","서울 중랑구 면목동 1031-22"," ","37.5862781","127.0743231","▣ 이용시간 및 휴관일  1. 이용시간안내 - 하절기(4월~10월) 화~토 10:00 ~ 21:00 / 일 월 10:00 ~ 19:00 ※동절기(11월~3월): 10:00 ~ 18:00  2. 휴관일(정기휴관일) - 둘째 넷째 월요일 및 법정공휴일  ▣ 회원가입안내  1. 대상 - 주민등록상 서울시민 서울시 소재 사업장 직장인  2. 구비서류 - 중학생 이상 : 주민등록증/주민등록등본/학생증/운전면허증 중 하나 ※ 학생증은 주민등록번호와 주소가 기재된 것만 가능 - 영아(0세)~초등학교 6학년 : 주민등록등본 - 외국인 : 외국인등록증 - 중랑구 소재 사업장 직장인 : 사업자등록증(개인사업자) 관내 사업장 재직증명서  3. 대출회원 가입절차 - 중랑구 작은도서관 홈페이지(http://www.jungnanglib.seoul.kr/library)에서 회원가입 ※ ’본인명의의 휴대폰’ 또는 ’아이핀’으로 본인 인증 - 신분증을 지참하여 각 도서관 방문 후 본인 확인 - 회원증 발급  4. 회원카드 재발급 - 분실(분실신고) 또는 훼손으로 인하여 카드 사용이 불가능할 때  ※ 신분증과 재발급수수료(1000원)를 지참하여 각 도서관 방문 후 본인 확인 ※ 회원증 재발급  ▣ 자료이용안내  1. 대출 및 반납 - 대상 : 중랑구 구립도서관 대출회원 - 대출권수 : 1인당 5권 - 대출기간 : 2주  - 반납연기 : 1회 7일 연기가능 (단 예약자료의 경우 반납연기 불가) ※ 반납기일 이전에 전화 및 홈페이지(내서재)에서 연기 신청 - 회원증 미지참시 대출 불가(아동은 부모님이 자녀카드로 대출 가능)  2. 자료예약안내 - 대상 : 현재 대출 중인 자료에 한해서만 가능 - 규정 : 한 자료당 최대 3명(1~3순위)까지 도서관별 2권 통합 8권 예약 가능 ※ 예약자료 대출안내 후 만기일(2일) 이내 대출해 주시기 바랍니다.(만기일 지나면 자동 취소)  -방법 :  ※ 도서관 홈페이지에서 자료검색 후 예약하기 버튼 클릭 ※ 도서관 자료실 데스크에 방문하여 예약신청      ",""
"시립망우청소년센터","청소년","시립","평화의 일꾼을 키우는 시립망우청소년센터","http://mangwoo.kr/","02-492-7942","중랑구","02062","서울 중랑구 송림길 156 (망우동 망우청소년수련관)","시립망우청소년센터","37.606458928","127.108908444","▣ 접수 환불 안내 1. 접수 안내 ① 기존회원 접수 ◎ 접수 기간 : 매월 17일 ~ 22일까지 ◎ 접수 시간 06:00 ~ 09:00 : 지하1층 수영장 입구 09:00 ~ 18:00 : 1층 안내데스크  ② 신규 회원 접수 ◎ 접수 기간 : 매월 23일 ~ 말일까지 ◎ 07:00 ~ 18:00 : 1층 안내데스크 ◎ 18:00 ~ 20:00 : 지하1층 수영장 입구 ※ 접수기간이 일요일 공휴일이 겹칠 경우 익일부터 입니다. ※ 일요일 공휴일은 접수 받지 않습니다. ※ 접수기간 외에는 오후 6시까지만 받습니다.(키박스에서의 야간접수는 없습니다.) ※ 토요일은 09:00-17:00까지만 접수 받습니다.  2. 유의 사항 ◎ 가입신청서 작성 시 인적사항 기재 필수 (이름 생년월일 연락처 주소) ◎ 접수 마감된 프로그램은 기존회원도 접수 불가 ◎ 해당 요일별로 개강하며 수련관 사정에 따라 변경 가능 (단 모든 강좌는 정원 60% 미달시 수련관 사정에 따라 폐강될 수도 있습니다.) ◎ 모든 프로그램은 선착순 접수입니다. ◎ 월초 개강인 프로그램은 10일 이후 접수 불가합니다. ◎ 각 프로그램의 교재비 및 재료비는 별도입니다. ◎ 시설물 이용 및 프로그램 이용 중 개인의 부주의 및 질병으로 불미스러운 일이 발생하였 을 시 책임은 전적으로 본인에게 있습니다. ◎ 성인요금 적용 : 20세 3월부터 적용됩니다. ◎ 프로그램 진행시 공휴일 및 임시공휴일에 대한 휴강은 별도보상 이나 보강수업은 없습니다.  3. 회원증 교부 ◎ 회원증 교부는 수영 헬스 에어로빅만 지급 ◎ 회원증 양도 회원증은 회원증에 표시된 본인만 사용가능하며 타인에게 양도나 대여는 사용 불가 ◎ 회원증 훼손/분실 회원증의 훼손/분실 등으로 인한 발생 사항에 대하여는 본 수련관은 책임이 없습니다. 회원증 분실 시 재발급비 : 2000원  4. 감면 부분 모든할인 및 감면은 중복되지 않습니다. 접수시 서류미제출시 할인또는 감면은 적용되지 않습니다. ◎ 가임여성 (생리)할인 대상 : 만13세 ~ 만55세의 수영프로그램 수강 여성 이용금액 10% 할인 증빙서류 : 주민등록증 사본 운전면허증 사본 의료보험증 사본중 택1 ◎ 청소년 감면 대상 : 만9세-만24세의 청소년 대상 프로그램 100% 감면 &quot;국민기초생활보장법&quot;에 따른 수급자 또는 그 가족인 청소년 &quot;국가유공자 등 예우 및 지원에 관한 법률&quot;에 따른 국가유공자 또는 직계가족인 청소년 &quot;사회복지사업법&quot;에 따른 사회복지시설의 청소년 &quot;한부모가족지원법&quot;에 따른 저소득 한부모 가족의 청소년 &quot;장애인 복지법&quot;에 따라 장애인으로 등록된 사람 증빙서류 : 각 항목에 해당되는 서류를 기관 (보훈처구청동사무소)에서 본인이름으로 발급하여 접수 시 제출 ◎ 청소년 할인 (만9세-만24세) 대상 : 다둥이 행복카드(3자녀 이상)를 소지한 청소년 30%감면 증빙서류 : 다둥이카드(동사무소발급) 주민등록등본 첨부 ◎ 성인 할인 (1개의 프로그램에 한하여 할인/감면) 대상 : 국가유공자 본인 및 배우자 “장애인 복지법&quot;에 따라 장애인으로 등록된 사람 50% 감면 증빙서류: 본인-유공자증 배우자-유공자증과 가족관계확인서 또는 국가 유공자 확인원) 장애우 복지카드(본인) ◎ 유아 할인 (1개의 프로그램에 한하여 할인/감면) 대상 : “장애인 복지법&quot;에 따라 장애인으로 등록된 사람 50% 감면 증빙서류: 장애우 복지카드(본인)  5. 환불 ◎ 환불에 관한 사항은 본 수련관의 회원약관에 따릅니다. 반변경은 프로그램 개시후 7일이내 1회가능합니다. 환불은 무통장 입금이며 10% 기본공제가 있습니다. ◎ 환불시 필요한 서류 공통서류 : 통장사본 신분증 (가족 통장인 경우 의료보험증) 현금으로 접수하셨을 경우 : 프로그램 영수증 지참 ◎ 환불에 관한 회원약관 및 소비자 피해보상 규정과 서울시립 청소년시설 사용료 및 강습료 환급 지침&lt;2004.6&gt;에 의함 ◎ 환불 및 반변경은 방문접수만 가능합니다.(평일 09:00~18:00)  6. 폐강 프로그램별 정원에 비해 접수율이 현저히 부족하여 운영이 어려운 경우에는 폐강될 수 있으며 수강료는 전액 환불됩니다. (해당 수업기간 종료시 환불불가)  ▣ 인터넷 접수 안내 1. 인터넷 결제 접수 일정 ◎ 기존회원 재접수(동일 프로그램 같은 시간)  - 매월 17일 ~ 22일 (접수 시작일이 공휴일 또는 주말일 경우 익일부터) ◎ 신규 회원 - 인터넷 접수는 재접수만 가능합니다.  - 신규 접수일 경우는 꼭 방문하시어 접수 바랍니다. ◎ 기존 회원이란 동일 프로그램의 동일 시간대 수강자 현재 수강하고 있는 프로그램의 다른 시간대 접수 시 신규 회원으로 접수 ◎ 신규 회원 이란 망우청소년수련관이 운영하는 프로그램을 처음 접수하는 회원 전월에 본인 의사로 프로그램을 취소한 회원 현재 수강하고 있는 프로그램외 다른 프로그램을 접수 시간을 변경하여 접수하고자 하는 회원  2. 인터넷 결제 접수 기간 ◎ 평일 09:00 ~ 18:00 ◎ 토요일 09:00 ~ 17:00 ◎ 일요일/공유일 휴무  3. 인터넷 결제 방법 ◎ 수련관 홈페이지 회원가입과 별도로 인터넷 접수 홈페이지 신규가입해야 함. ◎ 신규가입의 경우 프로그램 신청자 본인의 명의로 가입 (자녀의 프로그램 접수시 해당 자녀의 명의로 회원가입 후 프로그램 접수)  4. 인터넷 접수 취소 ◎ 당일 취소만 가능합니다. (수련관으로 확인 전화 후 취소가 가능하며 임의 취소시 환불로 처리되어 10% 환불 수수료 공제됨) ◎ 접수 후 다음날부터 내방하여 환불가능하며 통장을 지참하시고 환불수수료가 부과됩니다. ◎ 부분 취소는 불가 합니다. (접수한 프로그램 모두 취소 후 재접수)  5. 인터넷 접수 불가 사항(아래 해당자는 내방 접수만 가능합니다.) ◎ 수강료 감면 대상자 ◎ 3개월 한번에 접수하는 경우 및 단발성 일회성 프로그램 ◎ 프로그램 반 변경 ◎ 모든 패키지 프로그램 ◎ 신규접수","▣ 셔틀버스 이용 안내 홈페이지 (http://mangwoo.kr/bbs/board.php?bo_table=B71&#38;wr_id=5 ) 참조"
"중화1동작은도서관","도서관","구립","중화1동 주민센터에 위치하고 있는 작은도서관","http://smlib.jungnanglib.seoul.kr/small/prgm/information.do?libCd=108","02-2094-6324","중랑구","02088","서울 중랑구 동일로134길 17 (중화동 중화1동 주민센터)"," ","37.601130393","127.080677314"," ▣ 이용시간 및 휴관일  1. 이용시간안내 - 월-금 09:00 ~ 18:00  2. 휴관일(정기휴관일) - 주말(토 일) 및 공휴일   ▣ 회원가입안내  1. 대상 - 주민등록상 서울시민 서울시 소재 사업장 직장인  2. 구비서류 - 중학생 이상 : 주민등록증/주민등록등본/학생증/운전면허증 중 하나 ※ 학생증은 주민등록번호와 주소가 기재된 것만 가능 - 영아(0세)~초등학교 6학년 : 주민등록등본 - 외국인 : 외국인등록증 - 중랑구 소재 사업장 직장인 : 사업자등록증(개인사업자) 관내 사업장 재직증명서  3. 대출회원 가입절차 - 중랑구 작은도서관 홈페이지(http://www.jungnanglib.seoul.kr/library)에서 회원가입 ※ ’본인명의의 휴대폰’ 또는 ’아이핀’으로 본인 인증 - 신분증을 지참하여 각 도서관 방문 후 본인 확인 - 회원증 발급  4. 회원카드 재발급 - 분실(분실신고) 또는 훼손으로 인하여 카드 사용이 불가능할 때  ※ 신분증과 재발급수수료(1000원)를 지참하여 각 도서관 방문 후 본인 확인 ※ 회원증 재발급  ▣ 자료이용안내  1. 대출 및 반납 - 대상 : 중랑구 구립도서관 대출회원 - 대출권수 : 1인당 5권 - 대출기간 : 2주  - 반납연기 : 1회 7일 연기가능 (단 예약자료의 경우 반납연기 불가) ※ 반납기일 이전에 전화 및 홈페이지(내서재)에서 연기 신청 - 회원증 미지참시 대출 불가(아동은 부모님이 자녀카드로 대출 가능)  2. 자료예약안내 - 대상 : 현재 대출 중인 자료에 한해서만 가능 - 규정 : 한 자료당 최대 3명(1~3순위)까지 도서관별 2권 통합 8권 예약 가능 ※ 예약자료 대출안내 후 만기일(2일) 이내 대출해 주시기 바랍니다.(만기일 지나면 자동 취소)  -방법 :  ※ 도서관 홈페이지에서 자료검색 후 예약하기 버튼 클릭 ※ 도서관 자료실 데스크에 방문하여 예약신청      ",""
"상봉1동작은도서관","도서관","구립","상봉1동 주민센터에 위치하고 있는 작은도서관","http://smlib.jungnanglib.seoul.kr/small/prgm/information.dohttp://smlib.jungnanglib.seoul.kr/small/p","02-495-5494","중랑구","02091","서울 중랑구 상봉중앙로1길 6 (상봉동 상봉1동 주민센터)","2층","37.5998052","127.087243351"," ▣ 이용시간 및 휴관일  1. 이용시간안내 - 월-금 09:00 ~ 18:00  2. 휴관일(정기휴관일) - 주말(토 일) 및 공휴일   ▣ 회원가입안내  1. 대상 - 주민등록상 서울시민 서울시 소재 사업장 직장인  2. 구비서류 - 중학생 이상 : 주민등록증/주민등록등본/학생증/운전면허증 중 하나 ※ 학생증은 주민등록번호와 주소가 기재된 것만 가능 - 영아(0세)~초등학교 6학년 : 주민등록등본 - 외국인 : 외국인등록증 - 중랑구 소재 사업장 직장인 : 사업자등록증(개인사업자) 관내 사업장 재직증명서  3. 대출회원 가입절차 - 중랑구 작은도서관 홈페이지(http://www.jungnanglib.seoul.kr/library)에서 회원가입 ※ ’본인명의의 휴대폰’ 또는 ’아이핀’으로 본인 인증 - 신분증을 지참하여 각 도서관 방문 후 본인 확인 - 회원증 발급  4. 회원카드 재발급 - 분실(분실신고) 또는 훼손으로 인하여 카드 사용이 불가능할 때  ※ 신분증과 재발급수수료(1000원)를 지참하여 각 도서관 방문 후 본인 확인 ※ 회원증 재발급  ▣ 자료이용안내  1. 대출 및 반납 - 대상 : 중랑구 구립도서관 대출회원 - 대출권수 : 1인당 5권 - 대출기간 : 2주  - 반납연기 : 1회 7일 연기가능 (단 예약자료의 경우 반납연기 불가) ※ 반납기일 이전에 전화 및 홈페이지(내서재)에서 연기 신청 - 회원증 미지참시 대출 불가(아동은 부모님이 자녀카드로 대출 가능)  2. 자료예약안내 - 대상 : 현재 대출 중인 자료에 한해서만 가능 - 규정 : 한 자료당 최대 3명(1~3순위)까지 도서관별 2권 통합 8권 예약 가능 ※ 예약자료 대출안내 후 만기일(2일) 이내 대출해 주시기 바랍니다.(만기일 지나면 자동 취소)  -방법 :  ※ 도서관 홈페이지에서 자료검색 후 예약하기 버튼 클릭 ※ 도서관 자료실 데스크에 방문하여 예약신청      ",""
